C,measurement_tier,measured_zero_birth_m,formula_M_edge_plus_1,matches_formula_exactly,raw_observed_m1_lifetime,note,source
3,GENUINE_full_sweep,10,10,True,,,/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
4,GENUINE_full_sweep,13,13,True,,,/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
5,GENUINE_full_sweep,15,15,True,,"zero-birth point m=15 was confirmed at DEPTH 50 (not the standard depth 2000 used for m=1..13), after the depth-1169 m=14 run was manually killed once its live count returned to 0; see LOCK3_PRECISION_COUNTDOWN_GRID.md 'Observed boundary probes'. Still a direct zero-birth observation, just at reduced depth budget for the confirming run.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
6,INFERRED_m1_only_plus_linear_countdown_assumption,17,17,True,16,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
7,INFERRED_m1_only_plus_linear_countdown_assumption,20,20,True,19,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
8,INFERRED_m1_only_plus_linear_countdown_assumption,22,22,True,21,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
9,INFERRED_m1_only_plus_linear_countdown_assumption,25,25,True,24,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
10,INFERRED_m1_only_plus_linear_countdown_assumption,27,27,True,26,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
11,INFERRED_m1_only_plus_linear_countdown_assumption,29,29,True,28,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
12,INFERRED_m1_only_plus_linear_countdown_assumption,32,32,True,31,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
13,INFERRED_m1_only_plus_linear_countdown_assumption,34,34,True,33,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
14,INFERRED_m1_only_plus_linear_countdown_assumption,37,37,True,36,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
15,INFERRED_m1_only_plus_linear_countdown_assumption,39,39,True,38,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
16,INFERRED_m1_only_plus_linear_countdown_assumption,41,41,True,40,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
17,INFERRED_m1_only_plus_linear_countdown_assumption,44,44,True,43,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
18,INFERRED_m1_only_plus_linear_countdown_assumption,46,46,True,45,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
19,INFERRED_m1_only_plus_linear_countdown_assumption,49,49,True,48,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
20,INFERRED_m1_only_plus_linear_countdown_assumption,51,51,True,50,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
21,INFERRED_m1_only_plus_linear_countdown_assumption,54,54,True,53,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
22,INFERRED_m1_only_plus_linear_countdown_assumption,56,56,True,55,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
23,INFERRED_m1_only_plus_linear_countdown_assumption,58,58,True,57,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
24,INFERRED_m1_only_plus_linear_countdown_assumption,61,61,True,60,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
25,INFERRED_m1_only_plus_linear_countdown_assumption,63,63,True,62,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
26,INFERRED_m1_only_plus_linear_countdown_assumption,66,66,True,65,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
27,INFERRED_m1_only_plus_linear_countdown_assumption,68,68,True,67,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
28,INFERRED_m1_only_plus_linear_countdown_assumption,70,70,True,69,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
29,INFERRED_m1_only_plus_linear_countdown_assumption,73,73,True,72,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
30,INFERRED_m1_only_plus_linear_countdown_assumption,75,75,True,74,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
31,INFERRED_m1_only_plus_linear_countdown_assumption,78,78,True,77,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
32,INFERRED_m1_only_plus_linear_countdown_assumption,80,80,True,79,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
33,INFERRED_m1_only_plus_linear_countdown_assumption,82,82,True,81,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
34,INFERRED_m1_only_plus_linear_countdown_assumption,85,85,True,84,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
35,INFERRED_m1_only_plus_linear_countdown_assumption,87,87,True,86,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
36,INFERRED_m1_only_plus_linear_countdown_assumption,90,90,True,89,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
37,INFERRED_m1_only_plus_linear_countdown_assumption,92,92,True,91,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
38,INFERRED_m1_only_plus_linear_countdown_assumption,94,94,True,93,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
39,INFERRED_m1_only_plus_linear_countdown_assumption,97,97,True,96,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
40,INFERRED_m1_only_plus_linear_countdown_assumption,99,99,True,98,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
41,INFERRED_m1_only_plus_linear_countdown_assumption,102,102,True,101,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
42,INFERRED_m1_only_plus_linear_countdown_assumption,104,104,True,103,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
43,INFERRED_m1_only_plus_linear_countdown_assumption,107,107,True,106,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
44,INFERRED_m1_only_plus_linear_countdown_assumption,109,109,True,108,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
45,INFERRED_m1_only_plus_linear_countdown_assumption,111,111,True,110,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
46,INFERRED_m1_only_plus_linear_countdown_assumption,114,114,True,113,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
47,INFERRED_m1_only_plus_linear_countdown_assumption,116,116,True,115,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
48,INFERRED_m1_only_plus_linear_countdown_assumption,119,119,True,118,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
49,INFERRED_m1_only_plus_linear_countdown_assumption,121,121,True,120,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
50,INFERRED_m1_only_plus_linear_countdown_assumption,123,123,True,122,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
